ParentLocationCode,ParentLocation,SpatialDimValueCode,Location,Year,Gender,Value
SEAR,South-East Asia,PRK,Democratic People's Republic of Korea,2018,Female,0.0
EUR,Europe,AZE,Azerbaijan,2018,Female,0.2
AFR,Africa,ERI,Eritrea,2018,Female,0.3
EMR,Eastern Mediterranean,EGY,Egypt,2018,Female,0.4
AFR,Africa,GHA,Ghana,2018,Female,0.4
AFR,Africa,NGA,Nigeria,2018,Female,0.5
EMR,Eastern Mediterranean,OMN,Oman,2018,Female,0.7
AFR,Africa,SEN,Senegal,2018,Female,0.7
AFR,Africa,NER,Niger,2018,Female,0.8
EMR,Eastern Mediterranean,ARE,United Arab Emirates,2018,Female,0.8
AFR,Africa,ETH,Ethiopia,2018,Female,0.9
EMR,Eastern Mediterranean,MAR,Morocco,2018,Female,0.9
WPR,Western Pacific,MYS,Malaysia,2018,Female,1.0
AFR,Africa,CMR,Cameroon,2018,Female,1.2
EMR,Eastern Mediterranean,QAT,Qatar,2018,Female,1.3
EUR,Europe,UZB,Uzbekistan,2018,Female,1.3
AFR,Africa,ZWE,Zimbabwe,2018,Female,1.3
AFR,Africa,DZA,Algeria,2018,Female,1.4
AFR,Africa,STP,Sao Tome and Principe,2018,Female,1.4
AFR,Africa,GMB,Gambia,2018,Female,1.5
EUR,Europe,ARM,Armenia,2018,Female,1.6
AFR,Africa,CIV,Côte d’Ivoire,2018,Female,1.6
AFR,Africa,TGO,Togo,2018,Female,1.6
AFR,Africa,MLI,Mali,2018,Female,1.7
WPR,Western Pacific,CHN,China,2018,Female,1.8
AFR,Africa,LBR,Liberia,2018,Female,1.8
AFR,Africa,BEN,Benin,2018,Female,1.9
AFR,Africa,BWA,Botswana,2018,Female,10.1
EUR,Europe,BLR,Belarus,2018,Female,10.4
WPR,Western Pacific,JPN,Japan,2018,Female,10.5
AFR,Africa,SWZ,Eswatini,2018,Both sexes,10.7
SEAR,South-East Asia,TLS,Timor-Leste,2018,Female,10.7
AMR,Americas,BHS,Bahamas,2018,Both sexes,10.9
AMR,Americas,JAM,Jamaica,2018,Both sexes,11.0
AFR,Africa,MDG,Madagascar,2018,Female,11.0
WPR,Western Pacific,FJI,Fiji,2018,Female,11.1
AMR,Americas,PAN,Panama,2018,Male,11.1
AMR,Americas,DOM,Dominican Republic,2018,Male,11.2
WPR,Western Pacific,PLW,Palau,2018,Female,11.2
AMR,Americas,BRA,Brazil,2018,Female,11.5
AFR,Africa,TCD,Chad,2018,Both sexes,11.8
AFR,Africa,KEN,Kenya,2018,Both sexes,11.8
AFR,Africa,MLI,Mali,2018,Both sexes,12.0
SEAR,South-East Asia,IND,India,2018,Female,12.1
WPR,Western Pacific,TON,Tonga,2018,Female,12.1
AMR,Americas,COL,Colombia,2018,Male,12.2
AMR,Americas,GUY,Guyana,2018,Both sexes,12.2
EUR,Europe,UZB,Uzbekistan,2018,Both sexes,12.3
AFR,Africa,BEN,Benin,2018,Male,12.4
AMR,Americas,CAN,Canada,2018,Female,12.4
AFR,Africa,BDI,Burundi,2018,Both sexes,12.6
AMR,Americas,SLV,El Salvador,2018,Both sexes,12.7
AFR,Africa,MWI,Malawi,2018,Both sexes,12.8
AMR,Americas,PRY,Paraguay,2018,Both sexes,12.8
AFR,Africa,CIV,Côte d’Ivoire,2018,Both sexes,13.0
AMR,Americas,HTI,Haiti,2018,Male,13.3
AFR,Africa,RWA,Rwanda,2018,Both sexes,13.3
AFR,Africa,TZA,United Republic of Tanzania,2018,Both sexes,13.3
WPR,Western Pacific,NZL,New Zealand,2018,Female,13.5
AFR,Africa,TGO,Togo,2018,Male,13.5
WPR,Western Pacific,AUS,Australia,2018,Female,13.6
EUR,Europe,ISL,Iceland,2018,Female,13.7
EUR,Europe,ISL,Iceland,2018,Both sexes,13.8
EUR,Europe,ISL,Iceland,2018,Male,13.9
AMR,Americas,MEX,Mexico,2018,Both sexes,13.9
AFR,Africa,ZWE,Zimbabwe,2018,Both sexes,13.9
EMR,Eastern Mediterranean,IRN,Iran (Islamic Republic of),2018,Both sexes,14.0
EMR,Eastern Mediterranean,QAT,Qatar,2018,Both sexes,14.0
AFR,Africa,ERI,Eritrea,2018,Male,14.2
AFR,Africa,GMB,Gambia,2018,Both sexes,14.4
AFR,Africa,MOZ,Mozambique,2018,Both sexes,14.4
AMR,Americas,CUB,Cuba,2018,Female,14.5
AMR,Americas,CRI,Costa Rica,2018,Male,14.7
EMR,Eastern Mediterranean,MAR,Morocco,2018,Both sexes,14.7
AFR,Africa,ZMB,Zambia,2018,Both sexes,14.7
WPR,Western Pacific,NZL,New Zealand,2018,Both sexes,14.8
AMR,Americas,BRB,Barbados,2018,Male,15.0
AFR,Africa,LBR,Liberia,2018,Male,15.1
SEAR,South-East Asia,NPL,Nepal,2018,Female,15.3
AMR,Americas,ARG,Argentina,2018,Female,15.4
WPR,Western Pacific,BRN,Brunei Darussalam,2018,Both sexes,15.5
WPR,Western Pacific,LAO,Lao People's Democratic Republic,2018,Female,15.5
AFR,Africa,UGA,Uganda,2018,Male,15.5
AMR,Americas,PER,Peru,2018,Male,15.6
EUR,Europe,RUS,Russian Federation,2018,Female,15.7
EUR,Europe,ISR,Israel,2018,Female,15.8
EUR,Europe,ROU,Romania,2018,Female,15.8
AFR,Africa,BFA,Burkina Faso,2018,Both sexes,16.0
AFR,Africa,ZAF,South Africa,2018,Female,16.0
AFR,Africa,COG,Congo,2018,Both sexes,16.1
WPR,Western Pacific,NZL,New Zealand,2018,Male,16.1
WPR,Western Pacific,AUS,Australia,2018,Both sexes,16.2
AFR,Africa,NER,Niger,2018,Male,16.3
AMR,Americas,BRA,Brazil,2018,Both sexes,16.5
WPR,Western Pacific,SGP,Singapore,2018,Both sexes,16.5
EMR,Eastern Mediterranean,SAU,Saudi Arabia,2018,Both sexes,16.6
WPR,Western Pacific,WSM,Samoa,2018,Female,16.9
EUR,Europe,TUR,Turkey,2018,Female,17.0
EUR,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2018,Female,17.3
AFR,Africa,SEN,Senegal,2018,Male,17.4
AFR,Africa,CMR,Cameroon,2018,Male,17.5
AMR,Americas,CAN,Canada,2018,Both sexes,17.5
SEAR,South-East Asia,BGD,Bangladesh,2018,Female,17.7
AMR,Americas,JAM,Jamaica,2018,Male,17.7
EUR,Europe,NOR,Norway,2018,Female,17.7
AFR,Africa,NAM,Namibia,2018,Both sexes,17.9
EMR,Eastern Mediterranean,ARE,United Arab Emirates,2018,Both sexes,18.2
EUR,Europe,FIN,Finland,2018,Female,18.3
EUR,Europe,DNK,Denmark,2018,Male,18.4
EUR,Europe,NOR,Norway,2018,Both sexes,18.4
AMR,Americas,URY,Uruguay,2018,Female,18.4
EMR,Eastern Mediterranean,OMN,Oman,2018,Male,18.5
AMR,Americas,BHS,Bahamas,2018,Male,18.6
EUR,Europe,DNK,Denmark,2018,Both sexes,18.6
WPR,Western Pacific,AUS,Australia,2018,Male,18.7
EUR,Europe,DNK,Denmark,2018,Female,18.7
AFR,Africa,DZA,Algeria,2018,Both sexes,18.8
AFR,Africa,BDI,Burundi,2018,Male,18.8
SEAR,South-East Asia,PRK,Democratic People's Republic of Korea,2018,Both sexes,18.8
EUR,Europe,LTU,Lithuania,2018,Female,19.0
AFR,Africa,SWZ,Eswatini,2018,Male,19.1
EUR,Europe,NOR,Norway,2018,Male,19.1
EUR,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2018,Both sexes,19.2
AMR,Americas,USA,United States of America,2018,Female,19.3
AFR,Africa,COM,Comoros,2018,Both sexes,19.5
EUR,Europe,AZE,Azerbaijan,2018,Both sexes,19.6
EUR,Europe,ITA,Italy,2018,Female,19.6
EUR,Europe,FIN,Finland,2018,Both sexes,19.7
AFR,Africa,RWA,Rwanda,2018,Male,19.7
EUR,Europe,LUX,Luxembourg,2018,Female,19.8
AFR,Africa,SLE,Sierra Leone,2018,Both sexes,19.8
WPR,Western Pacific,SLB,Solomon Islands,2018,Female,19.9
AFR,Africa,COG,Congo,2018,Female,2.0
EMR,Eastern Mediterranean,SAU,Saudi Arabia,2018,Female,2.0
AFR,Africa,SWZ,Eswatini,2018,Female,2.2
AMR,Americas,GUY,Guyana,2018,Female,2.2
AMR,Americas,BRB,Barbados,2018,Female,2.3
AFR,Africa,TCD,Chad,2018,Female,2.3
WPR,Western Pacific,BRN,Brunei Darussalam,2018,Female,2.5
AMR,Americas,SLV,El Salvador,2018,Female,2.5
AMR,Americas,PAN,Panama,2018,Female,2.7
SEAR,South-East Asia,LKA,Sri Lanka,2018,Female,2.7
AFR,Africa,KEN,Kenya,2018,Female,2.8
EMR,Eastern Mediterranean,TUN,Tunisia,2018,Female,2.9
EMR,Eastern Mediterranean,PAK,Pakistan,2018,Both sexes,20.0
EUR,Europe,SVN,Slovenia,2018,Female,20.3
AFR,Africa,MWI,Malawi,2018,Male,20.4
AFR,Africa,KEN,Kenya,2018,Male,20.8
SEAR,South-East Asia,MMR,Myanmar,2018,Female,20.8
